object1position_x,object1position_y,object1position_z,object1scaling_x,object1scaling_y,object1scaling_z,object2position_x,object2position_y,object2position_z,object2scaling_x,object2scaling_y,object2scaling_z,cameraposition_x,cameraposition_y,cameraposition_z,camerascaling_x,camerascaling_y,camerascaling_z,wallposition_x,wallposition_y,wallposition_z,wallscaling_x,wallscaling_y,wallscaling_z,planeposition_x,planeposition_y,planeposition_z,planescaling_x,planescaling_y,planescaling_z,attentionposition_x,attentionposition_y,attentionposition_z
-8,2.6,-0.2,500,550,500,-1,2.6,-0.4,50,50,50,-10.5,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.7,1.9,-8.6
6.1,2.3,-0.4,500,550,500,-1.9,1.8,-0.2,50,50,50,-10.5,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.1,5.2,-8.6
-1.7,2.8,-0.4,500,550,500,5.8,2.8,-0.2,50,50,50,-11.3,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.8,1.3,-8.6
-5.4,3.2,-0.2,500,550,500,-4.3,2.7,-0.4,50,50,50,-13.5,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.6,1.6,-8.6
5.9,2.2,-0.3,500,550,500,-2.4,1.8,-0.3,50,50,50,-13.5,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-7,5.2,-8.6
-5.1,2.2,-0.4,500,550,500,-10.2,2.5,-0.2,50,50,50,-4.5,5,-20,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0,2.1,-9.7
-9.5,2.9,-0.4,500,550,500,0.2,1.8,-0.3,50,50,50,-4.5,5,-19.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5,1.9,-9.2
5.5,3.4,-0.2,500,550,500,-1.8,3.2,-0.4,50,50,50,-4.5,5,-19.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.5,1.7,-9
-3.2,2.7,-0.5,500,550,500,-6.6,1.9,-0.2,50,50,50,-4.5,5,-19,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.8,2.5,-8.7
-5.3,3.5,-0.5,500,550,500,-6.9,2.5,-0.4,50,50,50,-4.5,5,-18.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.3,2.5,-8.4
-6.4,3,-0.3,500,550,500,4,3.3,-0.3,50,50,50,-4.5,5,-18.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.2,2.5,-8.1
-2.6,2.8,-0.2,500,550,500,-8.4,1.8,-0.3,50,50,50,-4.5,5,-18.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1.6,2.3,-7.8
-8.7,2.1,-0.3,500,550,500,-0.3,2.6,-0.4,50,50,50,-4.5,5,-15.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.9,2.2,-5.6
-8.4,3.3,-0.2,500,550,500,-9.4,3,-0.5,50,50,50,-6.3,5,-15.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.8,1.8,-5.1
1.1,3.1,-0.3,500,550,500,-5.3,2.6,-0.2,50,50,50,-6.3,5,-15.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-8.4,2.5,-4.9
-9,2.2,-0.2,500,550,500,0.3,1.7,-0.3,50,50,50,-6.3,5,-15,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5,1.8,-4.7
4.8,3.1,-0.4,500,550,500,-1,2.3,-0.3,50,50,50,-6.3,5,-18.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.3,1.7,-8
0.5,2.9,-0.3,500,550,500,4.1,3.4,-0.4,50,50,50,-7.4,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.7,2.5,-8.3
-0.9,1.8,-0.3,500,550,500,-4.9,1.9,-0.3,50,50,50,-7.4,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.1,2.6,-8.3
2.3,2.8,-0.2,500,550,500,7.8,2.5,-0.5,50,50,50,-5.7,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.1,1.7,-8.2
1.8,1.8,-0.5,500,550,500,7.4,3.1,-0.2,50,50,50,-3.8,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.4,2.2,-8.2
-1.4,3.3,-0.2,500,550,500,-7.8,3,-0.3,50,50,50,-3.8,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.7,1.7,-8.2
0.1,1.8,-0.3,500,550,500,7.9,2.3,-0.3,50,50,50,-3.8,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.6,2.4,-8.3
4.2,2.1,-0.4,500,550,500,-4.7,2.9,-0.4,50,50,50,-1.6,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.4,1.7,-8.3
-3.9,1.7,-0.2,500,550,500,-3.6,2.6,-0.2,50,50,50,-3.9,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,2.2,1.7,-8.2
2,2.5,-0.2,500,550,500,-7.9,1.9,-0.2,50,50,50,-3.9,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.9,3.1,-8.2
-2,3,-0.4,500,550,500,3.5,1.6,-0.3,50,50,50,-6.3,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.5,2.3,-8.2
4.6,1.7,-0.5,500,550,500,-5.5,3.1,-0.2,50,50,50,-8.7,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.5,2.5,-8.2
-5.9,1.9,-0.5,500,550,500,-6.3,2.6,-0.4,50,50,50,-8.7,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.7,2.4,-8.3
7.1,1.5,-0.4,500,550,500,4,1.9,-0.4,50,50,50,-6.2,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.9,1.8,-8.3
4.9,2.8,-0.2,500,550,500,-6.6,3.3,-0.2,50,50,50,-6.2,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1.2,1.8,-8.2
-8.7,1.6,-0.2,500,550,500,2.8,2.1,-0.4,50,50,50,-6.2,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1.4,2.5,-8.3
2.1,3.2,-0.2,500,550,500,3.5,3.3,-0.4,50,50,50,-6.2,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1.7,1.7,-8.3
-1.4,2.5,-0.2,500,550,500,5.9,2.1,-0.2,50,50,50,-6.2,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.8,2.9,-8.2
-7.5,2.2,-0.2,500,550,500,4.3,2.1,-0.5,50,50,50,-6.2,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.9,2.1,-8.2
-5.8,3.3,-0.2,500,550,500,3.7,3.2,-0.4,120,120,120,-4.5,5,-19.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-7.7,1.6,-9.6
-1.2,2.9,-0.3,500,550,500,3.1,1.6,-0.3,120,120,120,-4.5,5,-19.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.5,2.3,-9.4
5.7,3.4,-0.4,500,550,500,-8.7,3.4,-0.5,120,120,120,-4.5,5,-19.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.6,2.1,-9.1
-8.7,2,-0.2,500,550,500,-0.5,2.4,-0.3,120,120,120,-4.5,5,-17.8,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-7.3,2.4,-7.5
6.9,3.3,-0.5,500,550,500,-7.4,2.7,-0.2,120,120,120,-4.5,5,-15.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.4,1.5,-5.4
4.3,2,-0.3,500,550,500,-5.2,1.7,-0.4,120,120,120,-4.5,5,-17.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.6,1.9,-7.6
-7.7,1.9,-0.4,500,550,500,-2.1,2,-0.4,120,120,120,-4.5,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.2,1.5,-8.3
7.1,2.6,-0.4,500,550,500,7.8,3.2,-0.5,120,120,120,-4.5,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.5,1,-8.6
-1.7,1.9,-0.4,500,550,500,-5.1,2.6,-0.2,120,120,120,-4.5,5,-19.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,2.5,2.6,-8.8
3.2,1.6,-0.5,500,550,500,6.6,2.4,-0.4,120,120,120,-4.5,5,-19.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.7,1.8,-9
-5.7,2.8,-0.4,500,550,500,-10,1.6,-0.4,120,120,120,-4.5,5,-17.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.8,1.5,-7.2
-7.2,2.7,-0.3,500,550,500,2.5,2.9,-0.4,120,120,120,-4.5,5,-16.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.6,1.6,-6
0.2,2.5,-0.2,500,550,500,6.7,1.5,-0.2,120,120,120,-4.5,5,-16,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.7,1.8,-5.7
2.1,1.8,-0.2,500,550,500,-5.9,3.4,-0.2,120,120,120,-4.5,5,-15.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.8,1.7,-5.4
-2.4,1.5,-0.2,500,550,500,-6.1,2,-0.4,120,120,120,-7.7,5,-17.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.5,1.4,-7.3
0.2,3.4,-0.3,500,550,500,2.7,2,-0.4,120,120,120,-7.7,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.7,1.6,-7.4
-0.1,3.5,-0.4,500,550,500,-2.5,1.9,-0.5,120,120,120,-7.7,5,-17.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2,2,-7.3
-1,2.1,-0.4,500,550,500,1.8,2.4,-0.3,120,120,120,-7.7,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4,1.5,-7.4
-0.4,1.6,-0.3,500,550,500,-6.6,3.4,-0.3,120,120,120,-7.7,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3,1.8,-7.4
-0.7,2.7,-0.2,500,550,500,-2.2,2.9,-0.5,120,120,120,-5.2,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.5,1.6,-7.4
-6.7,2.7,-0.3,500,550,500,-8.6,1.8,-0.4,120,120,120,-5.2,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.3,2.1,-7.4
-1.1,2,-0.2,500,550,500,5.5,1.6,-0.3,120,120,120,-5.2,5,-17.8,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.7,2.4,-7.5
1.6,2.5,-0.5,500,550,500,-0.9,1.6,-0.3,120,120,120,-5.2,5,-20.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.5,1.8,-10.3
-2.9,2.5,-0.3,500,550,500,-0.3,2.1,-0.2,120,120,120,-5.2,5,-19.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.8,1.4,-8.8
7.8,2.6,-0.4,500,550,500,5.6,2.3,-0.3,120,120,120,-3.1,5,-18,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4,1.9,-7.7
3.1,2.1,-0.3,500,550,500,5.2,2.4,-0.3,120,120,120,-3.1,5,-20.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,2,1.9,-9.9
-8.6,3.4,-0.3,500,550,500,-9.8,1.5,-0.3,120,120,120,-3.1,5,-20.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.5,1.7,-10.2
7.1,2.6,-0.3,500,550,500,4.7,3.4,-0.5,120,120,120,-3.1,5,-20.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.8,2.7,-10.4
4.2,1.5,-0.2,500,550,500,-8,3,-0.4,120,120,120,-3.1,5,-18.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1.6,2.5,-8.6
1.3,3.5,-0.3,500,550,500,3.5,2.3,-0.3,120,120,120,-3.1,5,-18.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1.4,1.7,-8.2
4.7,3,-0.3,500,550,500,-4.8,2.5,-0.4,120,120,120,-3.1,5,-18.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.5,5.2,-8
-3,2.3,-0.5,500,550,500,4.2,3.4,-0.3,120,120,120,-3.1,5,-18,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.4,2.2,-7.7
5.7,1.6,-0.3,500,550,500,-3.2,3.2,-0.2,120,120,120,-3.1,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.3,2.1,-7.4
5.4,3.1,-0.4,500,550,500,-2.2,1.8,-0.2,120,120,120,-3.1,5,-17.5,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.1,2.2,-7.2
6.7,2.7,-0.5,130,140,125,-0.9,2.8,-0.5,150,150,150,-4.5,5,-20,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.2,2.3,-9.7
7.5,2.2,-0.2,130,140,125,-3.4,2,-0.3,150,150,150,-4.5,5,-19.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.6,1.9,-9.4
-4,2.7,-0.2,130,140,125,1.5,1.7,-0.4,150,150,150,-7,5,-19.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.9,1.6,-9.1
-3.6,3.2,-0.3,130,140,125,-2.2,2.5,-0.3,150,150,150,-7,5,-17.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.8,2.1,-7.6
1.6,2.3,-0.3,130,140,125,5.9,3.2,-0.4,150,150,150,-7,5,-17.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.3,2.5,-6.9
-3.5,3.4,-0.2,130,140,125,3.8,2.7,-0.2,150,150,150,-3.2,5,-16.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.4,2,-6.6
-4.8,3.1,-0.4,130,140,125,-6.4,1.7,-0.5,150,150,150,-3.2,5,-16.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.7,1.9,-6.3
-4.7,2.6,-0.4,130,140,125,5.6,1.9,-0.4,150,150,150,-5.1,5,-16.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.2,2,-6.1
4.3,2.4,-0.2,130,140,125,-9.6,3.1,-0.2,150,150,150,-7.6,5,-16.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.8,2.1,-5.8
-2,2.4,-0.5,130,140,125,-2.2,3.5,-0.3,150,150,150,-7.6,5,-16.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-8.7,2.1,-5.8
-4,1.7,-0.3,130,140,125,-2.4,2.3,-0.2,150,150,150,-7.6,5,-16,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.9,2.5,-5.7
5.1,1.9,-0.3,130,140,125,1,1.6,-0.4,150,150,150,-7.6,5,-16,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.9,2.2,-5.7
-0.6,2.9,-0.2,130,140,125,-6.4,1.7,-0.2,150,150,150,-7.6,5,-16.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.9,1.9,-5.8
-2.5,2.9,-0.2,130,140,125,-7.3,2.4,-0.4,150,150,150,-7.6,5,-14.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.5,2.3,-4
-0.6,2.8,-0.5,130,140,125,-2.3,1.9,-0.3,150,150,150,-7.6,5,-14,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.7,1.9,-3.7
-8,3.2,-0.3,130,140,125,5.1,3,-0.3,150,150,150,-7.6,5,-13.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.5,1.3,-3.4
-4.2,3.1,-0.3,130,140,125,-5.1,3.2,-0.5,150,150,150,-5.6,5,-16,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-7.9,2.3,-5.7
0.9,2.9,-0.3,130,140,125,-8.4,2.2,-0.5,150,150,150,-5.6,5,-16,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.1,2.4,-5.7
-3.1,2.2,-0.2,130,140,125,-9.4,1.8,-0.3,150,150,150,-5.6,5,-16,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.3,2.4,-5.7
7.3,3.4,-0.2,130,140,125,2.7,1.6,-0.3,150,150,150,-5.6,5,-16.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.6,2,-5.8
